varName,oldName,varDesc,Group,Inverted,Response Type
P023,Q27.1,How much time did you spend pushing?,,,0-19 minutes | 20-39 minutes | 40-59 minutes | 60-79 minutes | 80-99 minutes | 100-120 minutes | more than 2 hours
P024,Q28,Was your partner present during the birth? (Partner can mean a romantic partner or a birth partner),,,Yes | No | N/A
P025,Q29.1,Was your partner your primary support person during your labor and birth?,,,Yes | No | Sometimes | N/A
P026,Q30,Did you work with a doula?,,,Yes | No
P027,Q31.1,Did you rely on a birth plan during your labor and birth?,,,Yes | No
P028,Q61_1,Interested,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P029,Q61_2,Distressed,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P030,Q61_3,Excited,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P031,Q61_4,Upset,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P032,Q61_5,Strong,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P033,Q61_6,Guilty,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P034,Q61_7,Scared,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P035,Q61_8,Hostile,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P036,Q61_9,Enthusiastic,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P037,Q61_10,Proud,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P038,Q61_11,Irritable,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P039,Q61_12,Alert,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P040,Q61_13,Ashamed,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P041,Q61_14,Inspired,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P042,Q61_15,Nervous,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P043,Q61_16,Determined,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P044,Q61_17,Attentive,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P045,Q61_18,Jittery,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P046,Q61_19,Active,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P047,Q61_20,Afraid,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P048,Q33.1,"The lighting in my labor and birth environment was dimmed, dark, or off",((2)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P049,Q34,I labored in a confined space,((2)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P050,Q35.1,I used water to relax and/or relieve pain during my labor,((6)),,A Great Deal | Quite a Bit | Somewhat | Very Little | Not at All
P051,Q36,"Were there people present at your labor and birth besides you, your partner, and your care providers",((2)),,Yes | No
P052,Q37.1,INV - Some people contributed an unwelcome presence to my labor and birth,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P053,Q38,Any unwelcome guests were asked to leave,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree | N/A
P054,Q39.1,Were there other children present during the labor and birth?,((3)),,Yes | No
P055,Q40,Choose what best describes the children's overall level of interest,((3)),,Very Interested | Somewhat Interested | Neither Interested nor Uninterested | Somewhat Uninterested | Very Uninterested | N/A
P056,Q41.1,Choose what best describes the children's reactions,((3)),,Calm | Excited | Scared | Overwhelmed | Worried | Sleepy | Other | N/A
P057,Q42,I vocalized during contractions,((1)),,All the time | Often | Occasionally | Almost never | Never
P058,Q43.1,"During labor, I focused my attention on my breath",((5)),,All the time | Often | Occasionally | Almost never | Never
P059,Q44,"During labor, I focused my attention on someone's face (partner, midwife, doula, someone else)",((5)),,All the time | Often | Occasionally | Almost never | Never
P060,Q45.1,"During labor, I focused my attention on an object",((5)),,All the time | Often | Occasionally | Almost never | Never
P061,Q46,"During labor, I focused my attention on a mantra or motivational phrase",((5)),,All the time | Often | Occasionally | Almost never | Never
P062,Q47_1,I could take labor at my own pace,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P063,Q47_2,My midwife respected my innate knowledge of my birthing process,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P064,Q47_3,INV - I was being observed or watched,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P065,Q47_4,I felt in control of my own behavior,((7)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P066,Q47_5,I felt in control of the care I received,((7)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P067,Q47_6,"In general, my experience of labor and delivery was what I expected",,,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P068,Q47_7,My partner gave me his/her full presence,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P069,Q47_8,My midwife gave me her full presence,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P070,Q47_9,INV - I felt pressured to hurry up and push the baby out ,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P071,Q47_10,I concentrated fully on my contractions,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P072,Q48_1,I could not speak during contractions,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P073,Q48_2,I could not speak between contractions,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P074,Q48_3,INV - I ‘lost spirit’ at some point during the labor,((3)),INV*,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P075,Q48_4,My partner and I worked together emotionally,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P076,Q48_5,I felt safe in my surroundings,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P077,Q48_6,INV - I was following someone else’s timetable for labor,((4)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P078,Q48_7,My partner and I worked together physically,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P079,Q48_8,INV - I approached my labor through conscious reasoning and/or rationality,((7)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P080,Q48_9,INV - I tried to problem solve or think my way through labor,((7)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P081,Q48_10,I ended up laboring or pushing in a position (or positions) that I did not plan for,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P082,Q50_1,I labored primarily with my eyes closed,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P083,Q50_2,My surroundings were calm and comfortable,((2)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P084,Q50_3,INV - My birth did not go according to my birth plan,((7)),INV*,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P085,Q50_4,I was being guided by a sense of ‘knowing’ ,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P086,Q50_5,My behavior was intuitive rather than rational,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P087,Q50_6,I felt uninhibited,((7))/((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P088,Q50_7,I behaved exactly as I expected to,,*,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P089,Q50_8,I relinquished rational control of myself and listened to my body,((7))/((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P090,Q50_9,My partner and I felt intimate,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P091,Q50_10,I behaved in ways that surprised me,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P092,Q51_1,My birth environment was “my turf” and I was in charge of it,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P093,Q51_2,I was aware of cues from my body,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P094,Q51_3,I listened to the cues from my body,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P095,Q51_4,I protected by birthing space,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P096,Q51_5,I could not respond to others if they talked or asked me questions,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P097,Q51_6,INV - I let my partner down,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P098,Q51_7,My partner protected my birthing space during labor,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P099,Q51_8,INV - I felt inhibited in my noises during labor,((7))/((1)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P100,Q51_9,I believe that my body holds the wisdom to give birth on its own,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P101,Q51_10,"My baby and I were partners, working together",((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P102,Q52_1,My birthing environment was comfortable and relaxing,((2)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P103,Q52_2,I made spontaneous noises during contractions,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P104,Q52_3,My sense of self dissolved,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P105,Q52_4,My attention was focused internally throughout labor,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P106,Q52_5,INV - I felt inhibited in my movement during labor,((1)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P107,Q52_6,INV - I changed positions only when somebody told me to,((1)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P108,Q52_7,I paid attention to the sensations in my body,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P109,Q52_8,"I was able to ""be myself""",((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P110,Q52_9,INV - People talked too much,((2)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P111,Q52_10,INV - I needed to impress someone,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P112,Q53_1,I moved around the room,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P113,Q53_2,I was relaxed,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P114,Q53_3,INV - I let myself down,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P115,Q53_4,I moved around based on my intuitive knowledge of how to birth,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P116,Q53_5,My “mental chatter” disappeared,((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P117,Q53_6,INV - My emotions became overwhelming,((3)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P118,Q53_7,My birth was a private event ,((2))/((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P119,Q53_8,INV - I struggled to find a steady rhythm,((5)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P120,Q53_9,"I gave it ""my all"" in every moment",((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P121,Q53_10,INV - I tried to escape the sensations in my body,((1)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P122,Q54_1,I was involved in all decision-making processes (especially regarding interventions),,,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P123,Q54_2,My partner and I seemed to be the only ones in the room,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P124,Q54_3,INV - My labor pain felt like suffering,((6)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P125,Q54_4,My memories (now) of my labor are mostly focused on my inner experience,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P126,Q54_5,"INV - Time was an important factor in my labor (timing contractions, timing in between contractions, timing overall labor duration, etc.)",((4)),INV*,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P127,Q54_6,INV - I needed to be coached to give birth successfully,((1)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P128,Q54_7,My memories (now) of my labor are vague or fluid,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P129,Q54_8,My labor pain was productive,((6)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P130,Q54_9,INV - I was following directions for what to do,((1)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P131,Q54_10,I traveled through my labor pain,((6)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P132,Q55_1,I was in my own little world,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P133,Q55_2,I coped well with the pain of labor,((6)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P134,Q55_3,My memories (now) of my labor are very vivid,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P135,Q55_4,INV - I was acutely aware of how long my labor was taking,((4)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P136,Q55_5,Everyone at my birth was following my lead,((1)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P137,Q55_6,My external environment felt distant to me,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P138,Q55_7,I felt connected to all the women who have labored and birthed before me,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P139,Q55_8,INV - I found it very difficult to remain relaxed,((5)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P140,Q55_9,My memories (now) of my labor are very sharp and detailed,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P141,Q55_10,I felt a sense of oneness with the world,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P142,Q56_1,INV - I was helpless against the strength of my labor pain,((6)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P143,Q56_2,I lost track of time,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P144,Q56_3,Time seemed to slow down or stand still,((4)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P145,Q56_4,I accepted my labor pain,((6))/((7)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P146,Q56_5,I was oblivious to the world beyond my immediate environment,((3)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P147,Q56_6,"My actions were purposeful and essential, not frantic or excessive",((5)),,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P148,Q56_7,INV - I dreaded the coming of each contraction,((6))/((7)),INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P149,Q57.1,"INV - As a result of my childbirth experience, my self-confidence _________",((8)),INV,Greatly Decreased | Somewhat Decreased | Stayed the Same | Somewhat Increased | Greatly Increased
P150,Q58,My labor and delivery experience was __________,((8)),,Much better than expected | Slightly better than expected | Exactly as expected | Slightly worse than expected | Much worse than expected
P151,Q59.1,I felt my labor was a _______ experience,((8)),,Very Positive | Somewhat Positive | Positive and Negative | Somewhat Negative | Very Negative
P152,Q60,How long did it feel like you were in active labor (4cm or more dilated)? ,((4)),,0-2 hours | 2-4 hours | 4-6 hours | 6-8 hours | 8-10 hours | 10-12 hours | More than 12 hours
P153,Q61,How long did it feel like you were pushing?,((4)),,0-19 minutes | 20-39 minutes | 40-59 minutes | 60-79 minutes | 80-99 minutes | 100-120 minutes | more than 2 hours
P154,Q62,How intense was your labor pain during early labor (0-4cm dilated)?,((6)),,No Pain | Mild | Moderate/Discomforting | Intense | Severe/Overwhelming | Worst Pain I Can Imagine
P155,Q63,How intense was your labor pain during active labor (4cm or more dilated)?,((6)),,No Pain | Mild | Moderate/Discomforting | Intense | Severe/Overwhelming | Worst Pain I Can Imagine
P156,Q64,How intense was your labor pain during pushing?,((6)),,No Pain | Mild | Moderate/Discomforting | Intense | Severe/Overwhelming | Worst Pain I Can Imagine
