varName,oldName,varDesc,Group,Response Type,Inverted
P001,Q33,How many previous full-term pregnancies have you had?,,0 | 1 | 2 | 3 | 4+,
P002,Q35,When was your estimated due date? (MM/DD/YYYY),,Formated date response,
P003,Q37,Is this a single or a multiple pregnancy?,,Single | Multiple,
P004,Q39,Age,,18-24 | 25-29 | 30-34 | 35-39 | 40+,
P005,Q41,Occupation,,Free Response,
P006,Q43,Highest educational level achieved,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)",
P007,Q45,Are you currently partnered?,,Yes | No,
P008,Q47,Religious affiliation,,Protestant Christian | Roman Catholic | Evangelical Christian | Jewish | Muslim | Hindu | Buddhist | Atheist/Nonreligious | Other | Prefer Not to Say,
P009,Q49,Average household income,,"Less than $10,000 | $10,000-$50,000 | $50,000-$100,000 | $100,000-$150,000 | More than $150,000 | Prefer Not to Say",
P010,Q51,Race,,White/Caucasian | African American | Hispanic | Asian | Native American | Pacific Islander | Other,
P011,Q53,How many siblings do you have?,,0 | 1 | 2 | 3 | 4+,
P012,Q55,Highest educational level achieved by your mother,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)",
P013,Q57,Highest educational level achieved by your father,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)",
P014,Q59,What is your primary motivating factor for choosing an out-of-hospital birth?,,Free Response,
P015,Q19,Did you have a vaginal childbirth or a cesarean birth?,,Vaginal Birth | Cesarean Section,
P016,Q20,Did you receive any pain medications?,,No | Epidural | Narcotics | Spinal Block | Other
P070,Q47_9,I felt pressured to hurry up and push the baby out ,Choose what best describes the children's overall level of interest,Very Interested | Somewhat Interested | Neither Interested nor Uninterested | Somewhat Uninterested | Very Uninterested | N/A
P071,Q47_10,I concentrated fully on my contractions,Choose what best describes the children's reactions,Calm | Excited | Scared | Overwhelmed | Worried | Sleepy | Other | N/A
P072,Q48_1,I could not speak during contractions,I vocalized during contractions,All the time | Often | Occasionally | Almost never | Never
P073,Q48_2,I could not speak between contractions,"During labor, I focused my attention on my breath",All the time | Often | Occasionally | Almost never | Never
P074,Q48_3,I ‚Äòlost spirit‚Äô at some point during the labor,"During labor, I focused my attention on someone's face (partner, midwife, doula, someone else)",All the time | Often | Occasionally | Almost never | Never
P075,Q48_4,My partner and I worked together emotionally,"During labor, I focused my attention on an object",All the time | Often | Occasionally | Almost never | Never
P076,Q48_5,I felt safe in my surroundings,"During labor, I focused my attention on a mantra or motivational phrase",All the time | Often | Occasionally | Almost never | Never
P077,Q48_6,I was following someone else‚Äôs timetable for labor,,
P078,Q48_7,My partner and I worked together physically,,
P079,Q48_8,I approached my labor through conscious reasoning and/or rationality,,
P080,Q48_9,I tried to problem solve or think my way through labor,Page 5 (Subjective Questions 1),
P081,Q48_10,I ended up laboring or pushing in a position (or positions) that I did not plan for,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
P082,Q50_1,I labored primarily with my eyes closed,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P083,Q50_2,My surroundings were calm and comfortable,I could take labor at my own pace,1  2  3  4  5
P084,Q50_3,My birth did not go according to my birth plan,My midwife respected my innate knowledge of my birthing process,1  2  3  4  5
P085,Q50_4,I was being guided by a sense of ‚Äòknowing‚Äô ,I was being observed or watched,1  2  3  4  5
P086,Q50_5,My behavior was intuitive rather than rational,I felt in control of my own behavior,1  2  3  4  5
P087,Q50_6,I felt uninhibited,I felt in control of the care I received,1  2  3  4  5
P088,Q50_7,I behaved exactly as I expected to,"In general, my experience of labor and delivery was what I expected",1  2  3  4  5
P089,Q50_8,I relinquished rational control of myself and listened to my body,My partner gave me his/her full presence,1  2  3  4  5
P090,Q50_9,My partner and I felt intimate,My midwife gave me her full presence,1  2  3  4  5
P091,Q50_10,I behaved in ways that surprised me,I felt pressured to hurry up and push the baby out ,1  2  3  4  5
P092,Q51_1,My birth environment was ‚Äúmy turf‚Äù and I was in charge of it,I concentrated fully on my contractions,1  2  3  4  5
P093,Q51_2,I was aware of cues from my body,,
P094,Q51_3,I listened to the cues from my body,,
P095,Q51_4,I protected by birthing space,,
P096,Q51_5,I could not respond to others if they talked or asked me questions,Page 6 (Subjective Questions 2),
P097,Q51_6,I let my partner down,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
P098,Q51_7,My partner protected my birthing space during labor,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P099,Q51_8,I felt inhibited in my noises during labor,I could not speak during contractions,1  2  3  4  5
P100,Q51_9,I believe that my body holds the wisdom to give birth on its own,I could not speak between contractions,1  2  3  4  5
P101,Q51_10,"My baby and I were partners, working together",I ‘lost spirit’ at some point during the labor,1  2  3  4  5
P102,Q52_1,My birthing environment was comfortable and relaxing,My partner and I worked together emotionally,1  2  3  4  5
P103,Q52_2,I made spontaneous noises during contractions,I felt safe in my surroundings,1  2  3  4  5
P104,Q52_3,My sense of self dissolved,I was following someone else’s timetable for labor,1  2  3  4  5
P105,Q52_4,My attention was focused internally throughout labor,My partner and I worked together physically,1  2  3  4  5
P106,Q52_5,I felt inhibited in my movement during labor,I approached my labor through conscious reasoning and/or rationality,1  2  3  4  5
P107,Q52_6,I changed positions only when somebody told me to,I tried to problem solve or think my way through labor,1  2  3  4  5
P108,Q52_7,I paid attention to the sensations in my body,I ended up laboring or pushing in a position (or positions) that I did not plan for,1  2  3  4  5
P109,Q52_8,"I was able to ""be myself""",,
P110,Q52_9,People talked too much,,
P111,Q52_10,I needed to impress someone,,
P112,Q53_1,I moved around the room,Page 7 (Subjective Questions 3),
P113,Q53_2,I was relaxed,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
P114,Q53_3,I let myself down,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P115,Q53_4,I moved around based on my intuitive knowledge of how to birth,I labored primarily with my eyes closed,1  2  3  4  5
P116,Q53_5,My ‚Äúmental chatter‚Äù disappeared,My surroundings were calm and comfortable,1  2  3  4  5
P117,Q53_6,My emotions became overwhelming,My birth did not go according to my birth plan,1  2  3  4  5
P118,Q53_7,My birth was a private event ,I was being guided by a sense of ‘knowing’ ,1  2  3  4  5
P119,Q53_8,I struggled to find a steady rhythm,My behavior was intuitive rather than rational,1  2  3  4  5
P120,Q53_9,"I gave it ""my all"" in every moment",I felt uninhibited,1  2  3  4  5
P121,Q53_10,I tried to escape the sensations in my body,I behaved exactly as I expected to,1  2  3  4  5
P122,Q54_1,I was involved in all decision-making processes (especially regarding interventions),I relinquished rational control of myself and listened to my body,1  2  3  4  5
P123,Q54_2,My partner and I seemed to be the only ones in the room,My partner and I felt intimate,1  2  3  4  5
P124,Q54_3,My labor pain felt like suffering,I behaved in ways that surprised me,1  2  3  4  5
P125,Q54_4,My memories (now) of my labor are mostly focused on my inner experience,,
P126,Q54_5,"Time was an important factor in my labor (timing contractions, timing in between contractions, timing overall labor duration, etc.)",,
P127,Q54_6,I needed to be coached to give birth successfully,,
P128,Q54_7,My memories (now) of my labor are vague or fluid,Page 8 (Subjective Questions 4),
P129,Q54_8,My labor pain was productive,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
P130,Q54_9,I was following directions for what to do,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P131,Q54_10,I traveled through my labor pain,My birth environment was “my turf” and I was in charge of it,1  2  3  4  5
P132,Q55_1,I was in my own little world,I was aware of cues from my body,1  2  3  4  5
P133,Q55_2,I coped well with the pain of labor,I listened to the cues from my body,1  2  3  4  5
P134,Q55_3,My memories (now) of my labor are very vivid,I protected by birthing space,1  2  3  4  5
P135,Q55_4,I was acutely aware of how long my labor was taking,I could not respond to others if they talked or asked me questions,1  2  3  4  5
P136,Q55_5,Everyone at my birth was following my lead,I let my partner down,1  2  3  4  5
P137,Q55_6,My external environment felt distant to me,My partner protected my birthing space during labor,1  2  3  4  5
P138,Q55_7,I felt connected to all the women who have labored and birthed before me,I felt inhibited in my noises during labor,1  2  3  4  5
P139,Q55_8,I found it very difficult to remain relaxed,I believe that my body holds the wisdom to give birth on its own,1  2  3  4  5
P140,Q55_9,My memories (now) of my labor are very sharp and detailed,"My baby and I were partners, working together",1  2  3  4  5
P141,Q55_10,I felt a sense of oneness with the world,,
P142,Q56_1,I was helpless against the strength of my labor pain,,
P143,Q56_2,I lost track of time,,
P144,Q56_3,Time seemed to slow down or stand still,Page 9 (Subjective Questions 5),
P145,Q56_4,I accepted my labor pain,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
P146,Q56_5,I was oblivious to the world beyond my immediate environment,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P147,Q56_6,"My actions were purposeful and essential, not frantic or excessive",My birthing environment was comfortable and relaxing,1  2  3  4  5
P148,Q56_7,I dreaded the coming of each contraction,I made spontaneous noises during contractions,1  2  3  4  5
P149,Q57.1,"As a result of my childbirth experience, my self-confidence _________",My sense of self dissolved,1  2  3  4  5
P150,Q58,My labor and delivery experience was __________,My attention was focused internally throughout labor,1  2  3  4  5
P151,Q59.1,I felt my labor was a _______ experience,I felt inhibited in my movement during labor,1  2  3  4  5
P152,Q60,How long did it feel like you were in active labor (4cm or more dilated)? ,I changed positions only when somebody told me to,1  2  3  4  5
P153,Q61,How long did it feel like you were pushing?,I paid attention to the sensations in my body,1  2  3  4  5
P154,Q62,How intense was your labor pain during early labor (0-4cm dilated)?,"I was able to ""be myself""",1  2  3  4  5
P155,Q63,How intense was your labor pain during active labor (4cm or more dilated)?,People talked too much,1  2  3  4  5
P156,Q64,How intense was your labor pain during pushing?,I needed to impress someone,1  2  3  4  5



,,,Page 10 (Subjective Questions 6),
,,,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
,,,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
,,,I moved around the room,1  2  3  4  5
,,,I was relaxed,1  2  3  4  5
,,,I let myself down,1  2  3  4  5
,,,I moved around based on my intuitive knowledge of how to birth,1  2  3  4  5
,,,My “mental chatter” disappeared,1  2  3  4  5
,,,My emotions became overwhelming,1  2  3  4  5
,,,My birth was a private event ,1  2  3  4  5
,,,I struggled to find a steady rhythm,1  2  3  4  5
,,,"I gave it ""my all"" in every moment",1  2  3  4  5
,,,I tried to escape the sensations in my body,1  2  3  4  5



,,,Page 11 (Subjective Questions 7),
,,,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
,,,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
,,,I was involved in all decision-making processes (especially regarding interventions),1  2  3  4  5
,,,My partner and I seemed to be the only ones in the room,1  2  3  4  5
,,,My labor pain felt like suffering,1  2  3  4  5
,,,My memories (now) of my labor are mostly focused on my inner experience,1  2  3  4  5
,,,"Time was an important factor in my labor (timing contractions, timing in between contractions, timing overall labor duration, etc.)",1  2  3  4  5
,,,I needed to be coached to give birth successfully,1  2  3  4  5
,,,My memories (now) of my labor are vague or fluid,1  2  3  4  5
,,,My labor pain was productive,1  2  3  4  5
,,,I was following directions for what to do,1  2  3  4  5
,,,I traveled through my labor pain,1  2  3  4  5



,,,Page 12 (Subjective Questions 8),
,,,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
,,,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
,,,I was in my own little world,1  2  3  4  5
,,,I coped well with the pain of labor,1  2  3  4  5
,,,My memories (now) of my labor are very vivid,1  2  3  4  5
,,,I was acutely aware of how long my labor was taking,1  2  3  4  5
,,,Everyone at my birth was following my lead,1  2  3  4  5
,,,My external environment felt distant to me,1  2  3  4  5
,,,I felt connected to all the women who have labored and birthed before me,1  2  3  4  5
,,,I found it very difficult to remain relaxed,1  2  3  4  5
,,,My memories (now) of my labor are very sharp and detailed,1  2  3  4  5
,,,I felt a sense of oneness with the world,1  2  3  4  5



,,,Page 13 (Subjective Questions 9),
,,,Please rate how strongly you agree or disagree with each of the following statements by selecting the appropriate response.,
,,,"During my labor, I felt that ...",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
,,,I was helpless against the strength of my labor pain,1  2  3  4  5
,,,I lost track of time,1  2  3  4  5
,,,Time seemed to slow down or stand still,1  2  3  4  5
,,,I accepted my labor pain,1  2  3  4  5
,,,I was oblivious to the world beyond my immediate environment,1  2  3  4  5
,,,"My actions were purposeful and essential, not frantic or excessive",1  2  3  4  5
,,,I dreaded the coming of each contraction,1  2  3  4  5



,,,Page 14 (Subjective Questions 10),
,,,"As a result of my childbirth experience, my self-confidence _________",Greatly Decreased | Somewhat Decreased | Stayed the Same | Somewhat Increased | Greatly Increased
,,,My labor and delivery experience was __________,Much better than expected | Slightly better than expected | Exactly as expected | Slightly worse than expected | Much worse than expected
,,,I felt my labor was a _______ experience,Very Positive | Somewhat Positive | Positive and Negative | Somewhat Negative | Very Negative
,,,How long did it FEEL like you were in active labor (4cm or more dilated)? ,0-2 hours | 2-4 hours | 4-6 hours | 6-8 hours | 8-10 hours | 10-12 hours | More than 12 hours
,,,How long did it FEEL like you were pushing?,0-19 minutes | 20-39 minutes | 40-59 minutes | 60-79 minutes | 80-99 minutes | 100-120 minutes | more than 2 hours
,,,How intense was your overall labor pain during early labor (0-4cm dilated)?,No Pain | Mild | Moderate/Discomforting | Intense | Severe/Overwhelming | Worst Pain I Can Imagine
,,,How intense was your overall labor pain during active labor (4cm or more dilated)?,No Pain | Mild | Moderate/Discomforting | Intense | Severe/Overwhelming | Worst Pain I Can Imagine
,,,How intense was your overall labor pain during pushing?,No Pain | Mild | Moderate/Discomforting | Intense | Severe/Overwhelming | Worst Pain I Can Imagine
